Date,ABEV3,AGRO3,ALPA4,ALUP11,AMAR3,IBOV,portifolio
2023-01-02T00:00:00.000Z,13.485133171081543,26.011539459228516,14.329999923706055,23.095327377319336,6.25,,16.63439998626709
2023-01-03T00:00:00.000Z,13.466127395629883,25.278820037841797,13.399999618530273,22.804141998291016,6,,16.189817810058592
2023-01-04T00:00:00.000Z,13.542153358459473,24.71587562561035,13.489999771118164,22.346561431884766,5.800000190734863,,15.978918075561523
2023-01-05T00:00:00.000Z,13.580166816711426,24.67119789123535,13.859999656677246,22.729263305664062,6.099999904632568,,16.188125514984133
2023-01-06T00:00:00.000Z,13.608675956726074,24.858844757080078,13.869999885559082,22.463037490844727,6.449999809265137,,16.25011157989502
2023-01-09T00:00:00.000Z,13.684701919555664,24.84990882873535,14.220000267028809,22.903976440429688,6.75,,16.481717491149904
2023-01-10T00:00:00.000Z,13.817748069763184,24.92139434814453,14.779999732971191,23.344919204711914,7.400000095367432,,16.85281229019165
2023-01-11T00:00:00.000Z,13.580166816711426,25.350303649902344,15.130000114440918,23.544588088989258,6.949999809265137,,16.911011695861816
2023-01-12T00:00:00.000Z,13.399604797363281,24.94820213317871,14.510000228881836,23.777542114257812,6.75,,16.677069854736327
2023-01-13T00:00:00.000Z,13.190532684326172,25.28775405883789,13.619999885559082,23.478036880493164,6.5,,16.415264701843263
2023-01-16T00:00:00.000Z,12.544310569763184,25.252012252807617,13.5,23.386516571044922,6.25,,16.186567878723146
2023-01-17T00:00:00.000Z,13.171525955200195,26.029409408569336,13.850000381469727,23.652748107910156,6.150000095367432,,16.57073678970337
2023-01-18T00:00:00.000Z,13.095499992370605,25.663049697875977,13.920000076293945,24.01049041748047,5.949999809265137,,16.527807998657227
2023-01-19T00:00:00.000Z,12.962454795837402,26.09195899963379,13.720000267028809,23.66106414794922,6.199999809265137,,16.527095603942872
2023-01-20T00:00:00.000Z,12.857917785644531,26.029409408569336,12.90999984741211,23.31995964050293,6.349999904632568,,16.293457317352296
2023-01-23T00:00:00.000Z,12.753382682800293,26.06515121459961,13.0600004196167,23.760902404785156,6.349999904632568,,16.397887325286867
2023-01-24T00:00:00.000Z,12.933943748474121,26.199186325073242,13.039999961853027,23.536270141601562,7.150000095367432,,16.57188005447388
2023-01-25T00:00:00.000Z,13.028977394104004,26.449382781982422,13.5,23.677703857421875,7.150000095367432,,16.76121282577515
2023-01-26T00:00:00.000Z,13.057486534118652,27.003389358520508,13.239999771118164,23.80249786376953,7.199999809265137,,16.8606746673584
2023-01-27T00:00:00.000Z,12.971957206726074,26.404705047607422,12.979999542236328,23.220125198364258,7.099999904632568,,16.53535737991333
2023-01-30T00:00:00.000Z,12.857917785644531,26.279605865478516,13.25,23.161888122558594,6.849999904632568,,16.479882335662843
2023-01-31T00:00:00.000Z,12.981460571289062,26.628093719482422,13.609999656677246,23.777542114257812,6.900000095367432,,16.779419231414796
2023-02-01T00:00:00.000Z,12.525304794311523,26.20812225341797,13.640000343322754,23.453075408935547,6.800000190734863,,16.525300598144533
2023-02-02T00:00:00.000Z,12.458781242370605,26.154508590698242,13.4399995803833,23.24508285522461,7,,16.45967445373535
2023-02-03T00:00:00.000Z,12.335238456726074,25.895374298095703,12.699999809265137,23.070371627807617,6.550000190734863,,16.110196876525883
2023-02-06T00:00:00.000Z,12.373251914978027,26.06515121459961,12.399999618530273,23.36155891418457,6.099999904632568,,16.05999231338501
2023-02-07T00:00:00.000Z,12.316232681274414,25.600500106811523,12.15999984741211,23.311641693115234,5.650000095367432,,15.807674884796144
2023-02-08T00:00:00.000Z,12.534807205200195,24.76055335998535,12.449999809265137,23.486351013183594,5.300000190734863,,15.706342315673828
2023-02-09T00:00:00.000Z,12.373251914978027,23.715089797973633,11.779999732971191,22.887340545654297,4.099999904632568,,14.971136379241944
2023-02-10T00:00:00.000Z,12.221199035644531,24.135061264038086,9.579999923706055,23.170207977294922,3.8499999046325684,,14.591293621063233
2023-02-13T00:00:00.000Z,12.477787971496582,23.983156204223633,9.850000381469727,23.436437606811523,3.8499999046325684,,14.71947641372681
2023-02-14T00:00:00.000Z,12.35424518585205,23.49169921875,9.699999809265137,23.44475555419922,3.950000047683716,,14.588139963150027
2023-02-15T00:00:00.000Z,12.572819709777832,23.983156204223633,10.039999961853027,23.5279483795166,4.25,,14.874784851074219
2023-02-16T00:00:00.000Z,12.43027114868164,23.688282012939453,10.020000457763672,23.55291175842285,4,,14.738293075561526
2023-02-17T00:00:00.000Z,12.544310569763184,23.67041015625,10.229999542236328,23.652748107910156,3.950000047683716,,14.809493684768679
2023-02-22T00:00:00.000Z,12.553813934326172,23.46489143371582,9.829999923706055,23.36155891418457,3.799999952316284,,14.60205283164978
2023-02-23T00:00:00.000Z,12.591827392578125,23.455955505371094,9.90999984741211,23.311641693115234,3.6500000953674316,,14.583884906768798
2023-02-24T00:00:00.000Z,12.658349990844727,23.455955505371094,9.4399995803833,23.27004051208496,3.5,,14.464869117736818
2023-02-27T00:00:00.000Z,12.734375953674316,23.455955505371094,9.699999809265137,23.220125198364258,3.299999952316284,,14.482091283798217
2023-02-28T00:00:00.000Z,12.724872589111328,23.178953170776367,9.430000305175781,22.92061424255371,3.1500000953674316,,14.280888080596926
2023-03-01T00:00:00.000Z,12.800899505615234,22.98236846923828,9.119999885559082,23.311641693115234,3.049999952316284,,14.252981901168825
2023-03-02T00:00:00.000Z,12.477787971496582,23.37553596496582,9.329999923706055,23.453075408935547,3.049999952316284,,14.337279844284058
